subid,date,start_time,end_time,finished,mturkcode,characterL,characterR,condition,happy: characterL,depressed: characterL,fear: characterL,angry: characterL,calm: characterL,sounds: characterL,seeing: characterL,temperature: characterL,odors: characterL,depth: characterL,computations: characterL,thoughts: characterL,reasoning: characterL,remembering: characterL,beliefs: characterL,hungry: characterL,tired: characterL,pain: characterL,nauseated: characterL,safe: characterL,love: characterL,recognizing: characterL,communicating: characterL,guilt: characterL,disrespected: characterL,free_will: characterL,choices: characterL,self_restraint: characterL,intentions: characterL,goal: characterL,conscious: characterL,self_aware: characterL,desires: characterL,embarrassed: characterL,emo_recog: characterL,joy: characterL,morality: characterL,personality: characterL,pleasure: characterL,pride: characterL,CATCH: characterL,happy: characterR,depressed: characterR,fear: characterR,angry: characterR,calm: characterR,sounds: characterR,seeing: characterR,temperature: characterR,odors: characterR,depth: characterR,computations: characterR,thoughts: characterR,reasoning: characterR,remembering: characterR,beliefs: characterR,hungry: characterR,tired: characterR,pain: characterR,nauseated: characterR,safe: characterR,love: characterR,recognizing: characterR,communicating: characterR,guilt: characterR,disrespected: characterR,free_will: characterR,choices: characterR,self_restraint: characterR,intentions: characterR,goal: characterR,conscious: characterR,self_aware: characterR,desires: characterR,embarrassed: characterR,emo_recog: characterR,joy: characterR,morality: characterR,personality: characterR,pleasure: characterR,pride: characterR,CATCH: characterR,yob,gender,race_asian_east,race_asian_south,race_asian_other,race_black,race_hispanic,race_middle_eastern,race_native_american,race_pac_islander,race_white,race_other_prefno,religion_buddhism,religion_christianity,religion_hinduism,religion_islam,religion_jainism,religion_judaism,religion_sikhism,religion_other,religion_none,religion_prefno,feedback,display_order1,display_order2
R_3iPjqGnteIjvZi1,1/9/16,5:01:17 PM,5:05:17 PM,1,792359346,beetle,robot,beetle_robot,1,1,3,1,2,4,7,4,7,2,1,1,1,2,1,7,5,6,2,3,1,1,1,1,1,2,4,1,2,5,1,1,1,1,1,1,1,1,2,1,5,1,1,1,1,1,6,6,7,1,6,7,3,7,7,1,1,1,1,1,1,1,7,5,1,1,1,7,1,3,7,1,1,1,1,1,1,2,4,1,1,5,1990,1,,,,,,,,,1,,,,,,,,,,1,,,FL_8,9|7|23|25|40|16|41|4|27|2|10|5|8|37|14|18|30|35|1|12|22|3|39|20|24|29|13|34|32|17|31|36|38|15|11|28|21|42|6|19|26
R_4I1p1ioIVL3riSZ,1/9/16,5:02:55 PM,5:05:30 PM,1,154454244,beetle,robot,beetle_robot,2,1,2,1,4,6,7,6,5,6,1,2,1,2,1,5,6,6,2,5,1,2,2,1,1,2,2,4,4,3,2,2,3,1,1,1,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1987,1,,,,,,,,,1,,,,,,,,,,1,,,FL_8,38|5|36|20|41|21|13|42|28|17|14|27|1|31|34|30|8|10|12|6|4|2|9|11|23|40|16|37|25|26|24|35|19|29|15|39|32|18|7|22|3
R_1erU582B0oGg49P,1/9/16,5:01:56 PM,5:05:32 PM,1,765279267,beetle,robot,beetle_robot,5,3,7,3,6,7,7,7,7,7,1,7,6,6,1,7,7,7,6,5,2,5,4,2,2,5,6,3,5,7,4,7,7,4,1,5,4,4,7,1,5,1,1,1,1,1,2,1,4,1,4,4,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,5,1,1,3,1,1,1,1,1,1,1,1,1,1,5,1979,1,,,,1,,,,,,,,,,,,,,,1,,no,FL_8,8|27|22|34|3|1|38|29|14|40|12|18|32|2|28|20|11|35|15|41|16|37|23|31|26|25|36|42|7|13|5|21|4|24|39|17|6|10|9|30|19
R_2pMNi8ljK4CreCW,1/9/16,5:00:07 PM,5:05:37 PM,1,946207855,robot,beetle,robot_beetle,1,1,1,1,4,6,5,6,1,5,7,4,6,6,3,1,1,1,1,1,1,7,4,1,1,1,5,1,5,6,3,2,2,1,2,2,4,4,1,1,5,7,1,7,7,7,7,7,7,7,6,2,6,6,6,2,7,7,7,7,7,6,7,4,1,2,6,6,6,7,7,6,3,7,1,3,7,1,3,7,1,5,1963,2,,,,,,,,,1,,,,,,,,,,1,,,FL_10,23|40|14|3|24|1|18|31|29|13|17|32|27|30|41|6|12|11|4|35|42|16|36|20|7|2|22|10|19|25|26|34|8|5|9|21|28|38|39|15|37
R_2wRoFoNHxJjTn44,1/9/16,5:00:26 PM,5:05:45 PM,1,457864178,beetle,robot,beetle_robot,1,1,5,5,4,7,7,6,6,4,1,5,2,2,1,6,5,6,2,4,1,1,2,1,1,7,7,4,5,1,7,5,5,1,1,1,1,2,5,1,5,1,1,1,1,1,5,4,4,1,2,5,1,1,4,1,1,1,1,1,1,1,3,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,5,1981,1,,,,,,,,,1,,,1,,,,,,,,,,FL_8,23|6|5|4|15|42|18|26|27|28|9|20|13|1|14|7|25|8|10|30|31|29|12|41|16|2|37|21|38|39|35|36|24|3|17|11|19|32|40|22|34
R_2PArl7wgzHt4fhz,1/9/16,5:01:40 PM,5:05:45 PM,1,372100215,beetle,robot,beetle_robot,1,1,2,3,3,3,5,1,2,2,2,2,1,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,2,3,2,4,2,2,1,3,1,1,2,2,1,2,1,3,2,2,2,3,1,2,3,6,1,1,5,2,1,2,3,1,1,1,4,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1992,1,,,,,,,,,1,,,1,,,,,,,,,,FL_8,7|37|4|15|36|24|30|22|17|9|18|41|8|25|3|6|23|20|19|2|34|29|42|26|27|28|16|38|21|5|14|40|11|1|35|13|32|12|10|39|31
R_W6yPohMFcazfdSh,1/9/16,5:02:24 PM,5:05:45 PM,1,805081259,robot,beetle,robot_beetle,2,1,1,2,4,5,6,6,3,6,7,1,4,6,2,1,1,2,1,2,1,5,6,2,1,3,6,2,4,6,2,2,3,1,1,2,2,5,1,2,5,4,1,7,7,6,6,7,7,6,7,2,5,4,5,2,7,7,7,4,5,2,2,6,2,2,6,6,5,6,7,6,6,6,2,5,4,3,3,5,5,5,1985,2,,,,,,,,,1,,,,,,,,,,1,,,FL_10,29|39|9|1|15|6|22|28|41|5|18|37|31|13|24|7|20|23|11|42|34|17|4|36|26|10|35|38|8|30|25|40|21|16|3|12|14|32|27|2|19
R_3HLcRJ0FSBK4xtt,1/9/16,4:59:37 PM,5:05:47 PM,1,778878985,beetle,robot,beetle_robot,1,1,6,1,4,6,4,4,5,2,1,3,2,1,1,7,2,7,5,1,2,1,3,1,1,5,4,1,5,4,3,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,7,4,7,1,4,7,2,4,6,1,1,1,1,1,1,1,5,5,1,1,1,6,1,2,3,1,2,1,1,1,1,1,1,1,1,5,1979,1,,,,,,,,,1,,,,,,,,,,1,,"nothing comes to mind, except thank you",FL_8,31|22|34|21|3|39|13|23|24|7|8|36|10|26|41|28|38|29|16|32|35|37|9|42|25|1|15|17|11|40|14|27|5|6|18|19|4|20|2|30|12
R_REonH1VMfWBvTHP,1/9/16,5:00:51 PM,5:05:47 PM,1,882607783,robot,beetle,robot_beetle,1,1,1,1,1,7,1,7,1,7,7,4,7,7,1,1,1,1,1,1,1,7,7,1,1,1,7,1,7,7,1,1,1,1,1,1,1,1,1,1,5,7,4,7,7,7,7,7,7,7,7,1,7,7,7,1,7,7,7,7,7,4,7,7,4,7,7,7,7,7,7,7,7,7,4,4,7,4,4,4,7,5,1992,1,1,,,,,,,,,,1,,,,,,,,,,,FL_10,4|40|34|24|38|5|41|9|21|20|35|31|7|37|1|17|19|26|15|14|3|6|22|12|13|28|36|18|39|2|27|23|8|16|11|25|29|10|42|32|30
R_2xy29Tcfsh4Fbfl,1/9/16,4:59:26 PM,5:05:55 PM,1,835422221,robot,beetle,robot_beetle,1,1,1,1,1,7,7,7,7,6,7,1,2,7,1,1,1,1,1,1,1,6,4,1,1,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,5,4,2,7,2,5,7,7,7,7,7,2,4,5,5,4,7,7,7,7,5,2,3,5,1,2,3,6,3,5,3,7,5,6,2,1,4,1,5,7,3,5,1962,1,,,,,,,,,1,,,,,,,,,,1,,,FL_10,1|42|37|38|4|39|25|9|34|15|6|23|40|41|13|19|7|17|11|29|16|20|14|28|35|31|32|18|27|5|30|21|22|3|10|12|8|24|2|26|36
